Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.44055,4.34055,3.34055,0.0070066,0.0057251,0.0072914
2.44055,4.34055,3.44055,0.0071245,0.0058209,0.0076464
2.44055,4.24055,2.44055,0.0058668,0.0048625,0.0043956
2.44055,4.24055,2.54055,0.0059742,0.0049582,0.0046908
2.44055,4.24055,2.64055,0.0060823,0.005054,0.0049926
2.44055,4.24055,2.74055,0.0061912,0.0051498,0.005301
2.44055,4.24055,2.84055,0.006301,0.0052456,0.0056161
2.44055,4.24055,2.94055,0.0064116,0.0053414,0.0059379
2.44055,4.24055,3.04055,0.0065231,0.0054372,0.0062663
2.44055,4.24055,3.14055,0.0066355,0.0055329,0.0066013
2.44055,4.24055,3.24055,0.006749,0.0056287,0.006943
2.44055,4.24055,3.34055,0.0068635,0.0057245,0.0072914
2.44055,4.24055,3.44055,0.0069791,0.0058203,0.0076464
2.44055,4.14055,2.44055,0.0057456,0.0048625,0.0043956
2.44055,4.14055,2.54055,0.0058505,0.0049582,0.0046908
2.44055,4.14055,2.64055,0.0059561,0.0050539,0.0049926
2.44055,4.14055,2.74055,0.0060626,0.0051496,0.005301
2.44055,4.14055,2.84055,0.0061699,0.0052453,0.0056161
2.44055,4.14055,2.94055,0.006278,0.005341,0.0059379
2.44055,4.14055,3.04055,0.0063872,0.0054368,0.0062663
2.44055,4.14055,3.14055,0.0064972,0.0055325,0.0066013
2.44055,4.14055,3.24055,0.0066084,0.0056282,0.006943
2.44055,4.14055,3.34055,0.0067205,0.0057239,0.0072914
2.44055,4.14055,3.44055,0.0068338,0.0058196,0.0076464
2.44055,4.04055,2.44055,0.0066886,0.0048625,0.0043956
2.44055,4.04055,2.54055,0.0066886,0.0049581,0.0046908
2.44055,4.04055,2.64055,0.00583,0.0050537,0.0049926
2.44055,4.04055,2.74055,0.0059339,0.0051494,0.005301
2.44055,4.04055,2.84055,0.0060388,0.005245,0.0056161
2.44055,4.04055,2.94055,0.0061445,0.0053407,0.0059379
2.44055,4.04055,3.04055,0.0062513,0.0054363,0.0062663
2.44055,4.04055,3.14055,0.006359,0.005532,0.0066013
2.44055,4.04055,3.24055,0.0064677,0.0056276,0.006943
2.44055,4.04055,3.34055,0.0065776,0.0057233,0.0072914
2.44055,4.04055,3.44055,0.0066886,0.0058189,0.0076464
2.44055,3.94055,2.44055,0.0065434,0.0048625,0.0043956
2.44055,3.94055,2.54055,0.0056031,0.004958,0.0046908
2.44055,3.94055,2.64055,0.0057038,0.0050536,0.0049926
2.44055,3.94055,2.74055,0.0058053,0.0051492,0.005301
2.44055,3.94055,2.84055,0.0059077,0.0052448,0.0056161
2.44055,3.94055,2.94055,0.006011,0.0053403,0.0059379
2.44055,3.94055,3.04055,0.0061154,0.0054359,0.0062663
2.44055,3.94055,3.14055,0.0062207,0.0055315,0.0066013
2.44055,3.94055,3.24055,0.0063271,0.0056271,0.006943
2.44055,3.94055,3.34055,0.0064347,0.0057226,0.0072914
2.44055,3.94055,3.44055,0.0065434,0.0058182,0.0076464
2.44055,3.84055,2.44055,0.005382,0.0048625,0.0043956
2.44055,3.84055,2.54055,0.0054794,0.004958,0.0046908
2.44055,3.84055,2.64055,0.0055776,0.0050535,0.0049926
2.44055,3.84055,2.74055,0.0056767,0.005149,0.005301
2.44055,3.84055,2.84055,0.0057766,0.0052445,0.0056161
2.44055,3.84055,2.94055,0.0058776,0.00534,0.0059379
2.44055,3.84055,3.04055,0.0059795,0.0054355,0.0062663
2.44055,3.84055,3.14055,0.0060825,0.005531,0.0066013
2.44055,3.84055,3.24055,0.0061866,0.0056265,0.006943
2.44055,3.84055,3.34055,0.0062918,0.005722,0.0072914
2.44055,3.84055,3.44055,0.0063983,0.0058175,0.0076464
2.44055,3.74055,2.44055,0.0052609,0.0048625,0.0043956
2.44055,3.74055,2.54055,0.0053557,0.0049579,0.0046908
2.44055,3.74055,2.64055,0.0054514,0.0050533,0.0049926
2.44055,3.74055,2.74055,0.005548,0.0051487,0.005301
2.44055,3.74055,2.84055,0.0056456,0.0052441,0.0056161
